Document name,Created by,Created,Modified by,Modified,Coded Segments,Words,Characters,participant_ID,full_clip_name,excerpt_label_final,genre_code,familiarity_specific_level,age_group,country_code,thought_or_not_response.keys,rating_Q1_music_related.response,rating_Q2_spontaneous.response,invalid,rating_Q3_reality.response,general_rating_Q1_familiarity.response,[Natural World],general_rating_Q2_enjoy.response,demographics.headphones,Creatures,demographics.age,demographics.livingCountry,Terrains,demographics.birthCountry,demographics.nativeLanguage,Sky and Space,demographics.otherLanguage,demographics.otherLanguageText,Vegetation,demographics.gender,demographics.hearingImpariments,Water Features,demographics.hearingImpairmentsText,demographics.education,Weather,demographics.musicianIdentification,Fictional and Spiritual Settings,Scene Qualities,Societal Places,Spatial Orientation,Named Regional Places,[Characters],NARRATIONAL,[Character Descriptors],[Settings],[Outfit Details],Accessories,Hair,Outfit Descriptors,Identity,Professions and Pursuits,Music-related Professions and Pursuits,Relations,Archetypes,Social Collectives,Traits,[Named Figures],Creators,Fictional Characters,Historical and Mythical Figures,Performers and Entertainers,[Social Presence],Solitude,Dyads,Groups,Body Parts,[Objects & Things],Consumables,Everyday Objects,Transport,Commerce and Organisations,Materials and Surfaces,Object Qualities,[Actions],[Agentic Actions],Directed Movement,Daily life,Music-linked Movement,Sports,Creating and Performing,Relational and Social,Consuming,Conflict and Wrongdoing,[Processes and States],Perceptual acts,Non-directional Motions,Rest and Leisure,Transforming and Learning,Waiting and Anticipating,[Action Modifiers],Speed,Characterisation,REFERENTIAL,[Music & Sounds],"Instruments, Ensembles, and Imitations",Music Use and Function,Sound Qualities,"Music Genre, Cultural, and Stylistic Labels",Technical and Structural Music Elements,Playback and Listening Devices,Named Artists and Musicians,Named Songs and Lyrics,Sounds and Sound Effects,"[Media, Art, & Technology]",Media Formats,Media Genres and Styles,Media Packaging Structures,Media Techniques and Effects,Music and Sound in Media,Media Companies and Devices,Digital Platforms and Applications,Named Media References,[Chronology & Events],Events and Occasions,Historical Events and Periods,Narrative Progression,Passage and Repetition of Time,Seasons and Time,EXPERIENTIAL,[Symbolic & Sensory Representations],[Sensory Details],[Visual Details],Colour,Illumination,Text,Vantage Point,"Oddities, Effects, Shapes, Patterns",Smell,Bodily Sensation,Conceptual and Metaphorical References,[Subjective & Personal Experience],Emotions and Affective States,Opinions and Preferences,Personal Significance,Personal Time-linked Connections
79 (7),hazelaileenvanderwalle,10/12/2025 12:05:11,hazelaileenvanderwalle,08/05/2026 13:13:42,6,24,131,79,Pop_L_02_new-clip_Pop_MED_weekends.mp3,Pop_L_02,Pop,L,18to30,UK,0,4,5,0,2,3,0,5,1,0,23,United Kingdom,0,United Kingdom,english,0,,punjabi,0,Male,0,0,NA,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79 (8),hazelaileenvanderwalle,10/12/2025 12:05:11,hazelaileenvanderwalle,08/05/2026 13:20:33,5,25,139,79,Ele_H_02_new-clip_Electronic_LOW_Expansion.mp3,Ele_H_02,Ele,H,18to30,UK,0,5,4,0,3,2,0,5,1,0,23,United Kingdom,0,United Kingdom,english,0,,punjabi,0,Male,0,0,NA,5,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79 (9),hazelaileenvanderwalle,10/12/2025 12:05:11,hazelaileenvanderwalle,08/05/2026 12:27:44,4,22,121,79,Amb_H_02_new-clip_Ambient_LOW_Value_Kit.mp3,Amb_H_02,Amb,H,18to30,UK,0,4,5,0,3,2,0,5,1,1,23,United Kingdom,1,United Kingdom,english,0,,punjabi,0,Male,0,0,NA,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 (1),hazelaileenvanderwalle,10/12/2025 12:05:11,hazelaileenvanderwalle,08/05/2026 13:20:32,7,22,115,25,Cla_L_08_new-clip_Classical_MED_The_Gardens_Light.mp3,Cla_L_08,Cla,L,18to30,UK,0,5,5,0,5,1,0,3,1,0,26,United Kingdom,0,United Kingdom,English,0,,NA,0,Female,0,0,NA,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25 (2),hazelaileenvanderwalle,10/12/2025 12:05:11,hazelaileenvanderwalle,08/05/2026 13:10:21,7,18,94,25,Fun_H_08_new-clip_Funk_HIGH_The_Boss.mp3,Fun_H_08,Fun,H,18to30,UK,0,5,5,0,5,1,0,5,1,0,26,United Kingdom,0,United Kingdom,English,0,,NA,0,Female,0,0,NA,5,0,3,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 (3),hazelaileenvanderwalle,10/12/2025 12:05:11,hazelaileenvanderwalle,08/05/2026 13:01:34,4,26,135,25,Fil_H_08_new-clip_Film_HIGH_Theme_From_Jurassic_Park.mp3,Fil_H_08,Fil,H,18to30,UK,0,5,5,0,3,4,0,4,1,1,26,United Kingdom,1,United Kingdom,English,0,,NA,0,Female,0,0,NA,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 (4),hazelaileenvanderwalle,10/12/2025 12:05:11,hazelaileenvanderwalle,08/05/2026 12:33:34,4,15,86,25,Jaz_H_08_new-clip_Jazz_HIGH_My_Baby_Just_Cares_for_Me_-2013_-_R,Jaz_H_08,Jaz,H,18to30,UK,0,5,5,0,2,1,0,3,1,0,26,United Kingdom,0,United Kingdom,English,0,,NA,0,Female,0,0,NA,5,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 (6),hazelaileenvanderwalle,10/12/2025 12:05:11,hazelaileenvanderwalle,08/05/2026 12:33:34,6,26,130,25,Met_H_08_new-clip_Metal_HIGH_Can_I_Play_with_Madness_-_2015_Rem,Met_H_08,Met,H,18to30,UK,0,5,5,0,4,1,0,5,1,0,26,United Kingdom,1,United Kingdom,English,0,,NA,0,Female,0,0,NA,5,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 (7),hazelaileenvanderwalle,10/12/2025 12:05:11,hazelaileenvanderwalle,08/05/2026 13:06:56,6,22,117,25,60s_L_08_new-clip_60s_LOW_This_Time_the_Dreams_on_Me.mp3,60s_L_08,60s,L,18to30,UK,0,5,5,0,3,1,0,2,1,0,26,United Kingdom,0,United Kingdom,English,0,,NA,0,Female,0,0,NA,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 (8),hazelaileenvanderwalle,10/12/2025 12:05:11,hazelaileenvanderwalle,08/05/2026 12:57:19,1,29,142,25,Amb_L_08_new-clip_Ambient_HIGH_Interloper.mp3,Amb_L_08,Amb,L,18to30,UK,0,0,0,0,0,1,0,3,1,0,26,United Kingdom,0,United Kingdom,English,0,,NA,0,Female,0,0,NA,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 (9),hazelaileenvanderwalle,10/12/2025 12:05:11,hazelaileenvanderwalle,08/05/2026 13:13:42,11,27,139,25,Ele_L_08_new-clip_Electronic_MED_Dumb_Love.mp3,Ele_L_08,Ele,L,18to30,UK,0,5,5,0,5,1,0,3,1,0,26,United Kingdom,0,United Kingdom,English,0,,NA,0,Female,0,0,NA,5,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 13:34:38,7,23,123,218,Met_H_11_new-clip_Metal_HIGH_Killing_In_The_Name.mp3,Met_H_11,Met,H,18to30,UK,0,4,3,0,2,3,0,4,1,0,27,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
218 (1),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 12:33:34,3,15,78,218,60s_L_11_new-clip_60s_MED_Through_with_You.mp3,60s_L_11,60s,L,18to30,UK,0,2,3,0,2,2,0,3,1,0,27,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218 (2),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 13:10:21,3,17,81,218,Jaz_H_11_new-clip_Jazz_HIGH_Fly_Me_To_The_Moon_-_2008_Remastere,Jaz_H_11,Jaz,H,18to30,UK,0,5,4,0,1,3,0,3,1,0,27,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218 (3),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 13:06:49,6,21,100,218,80s_L_11_new-clip_80s_MED_Your_Love_Drives_Me_Crazy.mp3,80s_L_11,80s,L,18to30,UK,0,4,2,0,3,2,0,2,1,0,27,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218 (4),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,05/03/2026 16:33:47,0,13,62,218,Cla_L_11_new-clip_Classical_MED_Elf_kurze_Stücke-_No._4_in_A_Mi,Cla_L_11,Cla,L,18to30,UK,0,0,0,0,0,1,0,1,1,0,27,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218 (5),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 12:46:49,4,9,52,218,Ele_L_11_new-clip_Electronic_LOW_El_Orden_del_Universo.mp3,Ele_L_11,Ele,L,18to30,UK,0,5,2,0,4,2,0,1,1,0,27,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218 (6),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 12:11:42,1,11,52,218,Amb_L_11_new-clip_Ambient_MED_The_Stargazers_Journey.mp3,Amb_L_11,Amb,L,18to30,UK,0,5,4,0,4,1,0,2,1,0,27,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218 (7),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 12:46:50,4,15,70,218,Pop_H_11_new-clip_Pop_HIGH_ocean_eyes.mp3,Pop_H_11,Pop,H,18to30,UK,0,5,4,0,1,4,0,3,1,0,27,United Kingdom,1,United Kingdom,English,0,,NA,0,Male,0,1,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218 (8),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 12:59:21,2,15,87,218,Fil_H_11_new-clip_Film_HIGH_The_Avengers_-_From__The_Avengers__,Fil_H_11,Fil,H,18to30,UK,0,5,3,0,3,2,0,4,1,1,27,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218 (9),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,05/03/2026 16:33:47,0,21,93,218,Fun_H_11_new-clip_Funk_HIGH_Smiley_Faces.mp3,Fun_H_11,Fun,H,18to30,UK,0,0,0,0,0,1,0,2,1,0,27,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 12:49:26,1,18,117,94,Met_H_07_new-clip_Metal_HIGH_What_Ive_Done.mp3,Met_H_07,Met,H,18to30,UK,0,4,4,0,1,1,0,2,1,0,20,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94 (1),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 13:12:36,2,24,126,94,Ele_L_07_new-clip_Electronic_LOW_Memoria.mp3,Ele_L_07,Ele,L,18to30,UK,0,5,4,0,1,1,0,4,1,0,20,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94 (2),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 13:19:21,1,25,131,94,60s_L_07_new-clip_60s_MED_Im_Waiting_For_The_Man.mp3,60s_L_07,60s,L,18to30,UK,0,5,5,0,1,5,0,5,1,0,20,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
94 (3),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 13:10:21,3,28,171,94,Fun_H_07_new-clip_Funk_HIGH_1999.mp3,Fun_H_07,Fun,H,18to30,UK,0,5,5,0,1,1,0,2,1,0,20,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94 (4),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 12:49:26,1,17,101,94,"Cla_L_07_new-clip_Classical_LOW_Sonata_No._2_for_Violin,_Piano_",Cla_L_07,Cla,L,18to30,UK,0,5,4,0,1,1,0,4,1,0,20,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94 (6),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 12:49:26,1,10,77,94,80s_L_07_new-clip_80s_LOW_Breaking_Away.mp3,80s_L_07,80s,L,18to30,UK,0,5,5,0,1,1,0,3,1,0,20,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94 (7),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 12:59:28,2,22,132,94,Jaz_H_07_new-clip_Jazz_HIGH_Feeling_Good.mp3,Jaz_H_07,Jaz,H,18to30,UK,0,4,4,0,2,2,0,4,1,0,20,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94 (8),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 13:21:45,6,19,103,94,Fil_H_07_new-clip_Film_HIGH_Star_Wars_-Main_Theme-.mp3,Fil_H_07,Fil,H,18to30,UK,0,5,5,0,1,4,0,4,1,0,20,United Kingdom,0,United Kingdom,English,1,,NA,0,Male,0,0,NA,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
94 (9),hazelaileenvanderwalle,10/12/2025 12:05:12,hazelaileenvanderwalle,08/05/2026 13:31:53,2,21,118,94,Pop_H_07_new-clip_Pop_HIGH_Slow_Dancing.mp3,Pop_H_07,Pop,H,18to30,UK,0,0,0,0,0,1,0,2,1,0,20,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1081,hazelaileenvanderwalle,10/12/2025 12:05:13,hazelaileenvanderwalle,08/05/2026 13:12:36,9,49,263,1081,"Cla_H_05_new-clip_Classical_HIGH_Wiegenlied,_Op._49,_No._4_-Arr",Cla_H_05,Cla,H,18to30,US,0,5,5,0,1,5,0,2,1,0,23,United States,0,United States,English,0,,NA,0,Male,0,0,NA,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081 (1),hazelaileenvanderwalle,10/12/2025 12:05:13,hazelaileenvanderwalle,08/05/2026 13:06:50,6,42,243,1081,Fil_L_05_new-clip_Film_LOW_Main_Titles.mp3,Fil_L_05,Fil,L,18to30,US,0,5,5,0,3,1,0,5,1,0,23,United States,0,United States,English,0,,NA,0,Male,0,0,NA,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081 (2),hazelaileenvanderwalle,10/12/2025 12:05:13,hazelaileenvanderwalle,08/05/2026 13:19:24,12,34,179,1081,80s_H_05_new-clip_80s_HIGH_Who_Can_It_Be_Now_.mp3,80s_H_05,80s,H,18to30,US,0,5,5,0,3,1,0,1,1,0,23,United States,0,United States,English,0,,NA,0,Male,0,0,NA,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
